CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,LIBRE-PANDO,MDA,MTS,MNR,UPP,FRI,FSUTCP,APB-SUMATE,A-UPP,NGP,AAGP,FE
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000067,1,52,31,2,7,6,0,0,22,3,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000777,1,53,21,5,4,32,5,0,22,14,9,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000787,2,78,43,3,5,17,2,0,21,14,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000797,3,62,34,3,1,26,1,0,25,14,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000807,4,16,4,0,1,7,0,0,8,2,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000817,1,50,34,9,6,12,7,0,24,11,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000827,2,46,45,4,2,14,2,0,19,21,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000837,3,46,31,6,3,12,5,0,18,22,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000847,4,49,35,6,4,13,10,0,16,13,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000857,5,15,18,1,1,1,2,0,12,9,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000217,1,49,41,6,2,7,4,0,20,22,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000227,2,41,45,6,6,8,5,0,29,14,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000237,3,48,49,1,6,7,0,0,12,25,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000247,4,46,46,6,7,10,5,0,21,23,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000257,5,53,44,1,3,1,5,0,20,21,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000267,6,48,38,7,3,5,3,0,19,22,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000277,7,46,41,5,4,9,4,0,22,25,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000287,8,43,48,7,5,6,4,0,16,25,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000297,9,59,42,5,3,5,6,0,22,13,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000307,10,44,44,1,3,6,2,0,27,22,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000317,11,33,31,2,3,5,3,0,20,15,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000017,1,43,36,4,1,14,0,0,36,6,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000027,2,44,42,8,2,9,2,0,32,7,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000037,3,45,40,7,2,5,3,0,41,9,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000047,4,56,42,2,2,7,1,0,31,14,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000057,5,40,22,4,3,8,2,0,24,8,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000077,1,40,27,4,4,7,3,0,60,15,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000087,2,31,30,7,1,10,4,0,39,16,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000097,3,6,5,0,0,1,1,0,9,1,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000107,1,32,60,5,4,8,3,0,27,32,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000117,2,35,35,3,5,6,4,0,21,38,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000127,3,41,40,3,2,6,4,0,21,31,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000137,4,21,41,5,1,7,5,0,14,39,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000147,5,23,38,5,11,4,3,0,24,37,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000157,6,28,44,9,7,6,2,0,20,23,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000167,7,21,21,4,3,3,4,0,8,17,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000867,1,51,26,5,2,9,2,0,19,21,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000877,2,34,30,3,5,6,1,0,20,22,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000887,3,51,28,2,6,18,0,0,28,10,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000897,4,49,30,6,2,8,2,0,25,11,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000907,5,53,26,1,1,9,2,0,31,13,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000917,6,47,34,7,0,14,4,0,25,12,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000927,7,52,30,5,3,16,4,0,22,20,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000937,8,7,4,0,0,0,1,0,0,3,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000947,1,54,24,4,7,16,4,0,23,23,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000957,2,53,43,6,7,9,7,0,24,15,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000967,3,35,27,6,2,1,5,0,31,5,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000977,4,42,29,2,3,12,6,0,22,18,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000987,5,46,30,4,1,8,2,0,20,19,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000997,6,47,44,3,4,8,2,0,24,13,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001007,7,37,35,8,3,3,2,0,25,16,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001017,8,56,30,4,2,14,1,0,26,23,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001027,9,60,33,5,4,7,5,0,23,18,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001037,10,42,30,4,3,5,4,0,28,22,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001047,11,53,44,6,5,10,4,0,25,11,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001057,12,41,29,4,6,6,6,0,35,23,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001067,13,19,24,3,0,9,5,0,20,21,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000327,1,38,49,13,4,6,5,0,14,31,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000337,2,45,55,7,4,7,2,0,13,27,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000347,3,30,47,5,1,6,5,0,20,33,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000357,4,58,38,3,9,13,3,0,19,20,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000367,5,30,51,4,5,8,5,0,26,34,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000377,6,36,48,8,2,8,3,0,23,34,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000387,7,33,46,6,6,10,6,0,10,38,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000397,8,50,44,6,8,6,3,0,18,23,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000407,9,31,51,3,6,7,4,0,24,30,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000417,10,63,35,10,3,8,4,0,20,27,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000427,11,41,44,6,10,4,3,0,28,27,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000437,12,23,45,1,2,4,2,0,12,11,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000447,1,39,55,6,6,9,1,0,21,21,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000457,2,44,46,6,7,8,3,0,32,25,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000467,3,42,42,2,4,7,4,0,16,24,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000477,4,40,51,6,2,10,5,0,21,27,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000487,5,50,42,6,5,8,3,0,30,0,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000497,6,34,64,2,3,9,3,0,18,35,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000507,7,46,53,4,6,13,3,0,18,27,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000517,8,31,40,8,5,5,4,0,18,15,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000527,1,49,32,6,1,11,8,0,30,24,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000537,2,31,57,4,5,8,2,0,26,28,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000547,3,34,37,8,6,6,6,0,19,28,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000557,4,43,37,1,2,10,4,0,21,35,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000567,5,40,43,4,4,7,6,0,19,29,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000577,6,38,30,2,5,9,6,0,9,30,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000587,7,34,55,5,4,6,4,0,16,24,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000597,8,34,42,7,5,11,4,0,24,31,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000607,9,43,45,5,5,12,9,0,16,21,6,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000617,10,49,52,6,3,13,2,0,27,20,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000627,11,42,38,6,5,11,2,0,25,23,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000637,12,21,39,5,5,3,3,0,23,24,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001287,1,94,29,5,4,15,1,0,14,15,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001297,2,52,25,1,1,12,4,0,18,9,7,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001307,3,93,26,2,2,8,0,0,21,19,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001317,4,83,26,9,1,10,1,0,18,19,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001327,5,77,23,9,3,11,1,0,25,16,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001077,1,48,45,5,7,8,2,0,16,15,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001087,2,55,36,5,6,13,0,0,24,25,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001097,3,38,30,8,3,11,1,0,28,14,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000647,1,44,54,6,3,9,4,0,11,27,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000657,2,28,53,3,3,6,4,0,38,20,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000667,3,26,56,2,4,4,6,0,29,20,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000677,4,44,57,2,5,5,2,0,30,15,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000687,5,38,49,4,2,6,2,0,26,21,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000697,6,31,44,1,7,10,3,0,25,23,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000707,7,40,49,4,5,14,2,0,14,21,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000717,8,41,59,6,7,7,1,0,28,19,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000727,9,39,58,2,5,10,1,0,27,20,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000737,10,46,50,2,2,8,2,0,29,12,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000747,11,44,50,5,2,6,3,0,23,24,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001117,1,58,26,6,3,19,2,0,27,20,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001127,2,36,52,6,4,14,0,0,25,20,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001137,3,45,52,3,6,13,3,0,32,17,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001147,4,49,47,5,4,12,3,0,21,23,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001157,5,69,43,6,2,13,2,0,23,14,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001167,6,44,38,7,5,12,1,0,23,20,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25037,Kínder Víctor León Arueta,9001107,1,64,28,7,5,16,3,0,25,10,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001377,1,49,53,4,1,16,0,0,25,21,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001387,2,44,59,3,3,8,1,0,22,16,4,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001397,3,39,53,4,5,8,0,0,28,19,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001407,4,46,65,2,0,5,2,0,21,27,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001417,5,53,59,4,10,6,0,0,22,17,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001427,6,44,41,7,2,6,3,0,18,19,3,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001437,7,61,49,6,4,11,4,0,25,22,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001447,8,36,45,10,5,12,1,0,24,30,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001457,9,51,36,11,3,3,1,0,19,28,5,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001467,10,44,57,7,9,18,2,0,13,11,2,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001477,11,36,61,4,3,12,3,0,25,14,1,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001487,12,36,68,11,4,11,1,0,22,20,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001497,13,44,49,4,4,11,1,0,31,18,0,,
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001507,14,38,64,2,2,18,5,0,27,11,1,,
