CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,UPP,MDA,LIBRE-PANDO,FRI,MTS,NGP,MNR,FSUTCP
1,Nicolás Suárez,1,Cobija,2751,Nueva Esperanza,13,U.E. Nueva Esperanza,9000061,1,,8,40,6,3,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000771,1,,18,74,10,5,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000781,2,,26,74,13,8,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000791,3,,22,72,10,3,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,3,U. E. Instituto Americano,9000801,4,,3,12,3,3,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000811,1,,17,43,19,11,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000821,2,,23,55,10,8,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000831,3,,21,41,8,6,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000841,4,,18,44,3,6,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,8,U.E. Mariano Baptista,9000851,5,,11,20,7,1,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000211,1,,23,36,9,6,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000221,2,,22,48,7,8,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000231,3,,21,42,4,6,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000241,4,,29,42,4,11,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000251,5,,26,50,6,5,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000261,6,,23,33,10,8,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000271,7,,21,49,4,11,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000281,8,,20,42,5,11,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000291,9,,22,57,7,10,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000301,10,,23,44,7,7,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,11,U. E. 11 de Octubre,9000311,11,,24,29,4,10,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000011,1,,25,43,2,5,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000021,2,,22,30,4,6,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000031,3,,19,43,3,9,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000041,4,,27,61,3,6,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,12,U.E. German Busch,9000051,5,,13,40,2,5,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000071,1,,15,21,3,1,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000081,2,,30,14,4,6,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,13,(Cárcel) Cárcel Pública (Villa Busch),9000091,3,,4,2,0,0,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000101,1,,35,45,9,8,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000111,2,,23,34,6,6,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000121,3,,21,46,7,6,9,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000131,4,,24,38,1,2,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000141,5,,15,32,5,9,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000151,6,,28,41,4,8,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,14,U.E. De Bella Vista,9000161,7,,7,21,4,4,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000861,1,,15,45,4,10,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000871,2,,20,36,8,5,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000881,3,,16,61,8,2,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000891,4,,0,50,3,5,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000901,5,,20,55,4,6,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000911,6,,14,56,13,7,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000921,7,,17,49,10,9,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,23,U. E. Vaca Diez (Intermedio),9000931,8,,1,5,0,1,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000941,1,,12,57,10,9,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000951,2,,12,52,7,5,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000961,3,,15,37,3,6,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000971,4,,14,49,8,8,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000981,5,,16,58,7,5,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9000991,6,,18,41,9,6,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001001,7,,15,33,4,9,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001011,8,,11,58,1,10,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001021,9,,19,49,7,12,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001031,10,,15,49,9,8,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001041,11,,22,51,7,10,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001051,12,,16,43,7,6,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25028,U. E. Cobija,9001061,13,,18,20,6,9,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000321,1,,22,36,4,17,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000331,2,,19,51,5,4,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000341,3,,16,32,7,7,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000351,4,,15,49,3,8,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000361,5,,22,34,8,14,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000371,6,,25,38,8,14,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000381,7,,25,36,3,12,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000391,8,,13,44,7,18,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000401,9,,25,35,1,11,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000411,10,,23,52,6,19,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000421,11,,25,32,5,9,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25029,U. E. Mariscal Sucre,9000431,12,,13,22,4,9,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000441,1,,20,46,5,9,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000451,2,,18,47,13,10,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000461,3,,19,47,10,5,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000471,4,,24,31,9,10,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000481,5,,12,40,8,10,9,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000491,6,,28,39,3,8,8,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000501,7,,32,43,7,5,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25031,U. E. Rogelia Menacho De Balcazar,9000511,8,,21,27,5,7,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000521,1,,13,48,7,18,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000531,2,,21,35,7,14,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000541,3,,18,32,8,14,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000551,4,,21,44,7,8,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000561,5,,10,40,6,10,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000571,6,,10,32,9,13,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000581,7,,20,33,5,12,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000591,8,,18,44,9,12,7,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000601,9,,21,45,7,6,11,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000611,10,,17,43,6,12,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000621,11,,19,38,4,3,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25032,U. E. José Manuel Pando,9000631,12,,15,28,7,11,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001281,1,,21,80,12,4,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001291,2,,22,59,8,7,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001301,3,,18,55,4,8,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001311,4,,21,55,6,8,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25033,U. E. Sofia Calpiñeiro,9001321,5,,21,73,6,6,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001071,1,,21,72,4,12,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001081,2,,25,60,8,4,8,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25034,U. E. Juana Azurduy De Padilla,9001091,3,,8,44,7,12,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000641,1,,16,48,17,10,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000651,2,,15,40,9,7,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000661,3,,24,29,8,14,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000671,4,,20,40,7,4,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000681,5,,17,48,5,6,8,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000691,6,,21,38,2,9,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000701,7,,17,39,4,8,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000711,8,,23,48,0,4,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000721,9,,27,54,3,6,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000731,10,,26,47,6,2,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25035,U.E. Defensores Del Acre,9000741,11,,23,47,5,5,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001111,1,,20,61,11,14,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001121,2,,19,50,7,6,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001131,3,,20,41,16,12,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001141,4,,20,54,8,3,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001151,5,,24,59,6,3,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25036,U. E. Vaca Diez (Medio),9001161,6,,19,46,8,3,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25037,Kínder Víctor León Arueta,9001101,1,,17,56,9,4,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001371,1,,25,63,8,9,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001381,2,,29,56,11,7,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001391,3,,14,46,3,4,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001401,4,,31,43,12,9,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001411,5,,34,54,8,6,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001421,6,,16,40,10,9,9,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001431,7,,21,57,10,6,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001441,8,,18,43,8,15,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001451,9,,15,40,7,7,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001461,10,,23,45,4,7,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001471,11,,20,48,4,6,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001481,12,,30,38,12,8,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001491,13,,28,45,5,6,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001501,14,,31,50,4,5,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001511,15,,28,47,10,6,5,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25040,U. E. Manuela Rojas,9001521,16,,13,30,1,7,0,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001531,1,,21,42,5,7,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001541,2,,28,34,8,9,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001551,3,,27,40,5,4,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001561,4,,24,32,5,7,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001571,5,,16,47,5,7,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001581,6,,20,35,6,5,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001591,7,,42,31,4,5,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001601,8,,21,46,5,5,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001611,9,,22,56,9,8,6,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001621,10,,17,42,4,4,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001631,11,,23,40,4,3,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001641,12,,16,43,8,3,1,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001651,13,,15,46,6,9,3,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25041,U. E. Simon Bolivar,9001661,14,,17,23,7,7,2,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25042,U.E. Villa Cruz,9001171,1,,15,63,10,2,4,0,0
1,Nicolás Suárez,1,Cobija,2773,Cobija,25042,U.E. Villa Cruz,9001181,2,,20,81,10,10,3,0,0
